e1_9500 g0 merge_cross_edge assayed ['2', '3', '1', '1', '1', 'domain|persist', 'repel', 'fragile'] new=True 621.87s
e1_9501 g0 merge_cross_edge assayed ['3', '5', '2', '1', '1', 'domain|persist|persist', 'repel', 'fragile'] X:replicate new=True 1313.65s
e1_9502 g0 mutate assayed ['2', '3', '0', '1', '0', 'persist|persist', 'repel', 'robust_static'] X:drift new=False 391.99s
e1_9503 g0 mutate assayed ['1', '2', '1', '0', '0', 'die', 'na', 'na'] new=False 2.36s
e1_9504 g0 mutate assayed ['2', '4', '1', '1', '1', 'persist|multi', 'repel', 'robust_static'] new=True 832.44s
e1_9505 g0 mutate assayed ['2', '3', '0', '1', '0', 'persist|die', 'repel', 'robust_static'] new=False 522.96s
e1_9506 g1 merge_slow_tanh assayed ['3', '5', '1', '1', '1', 'persist|persist|domain', 'repel', 'robust_static'] X:cross_bond new=True 1085.09s
e1_9507 g1 merge_slow_tanh assayed ['3', '4', '3', '1', '1', 'persist|die|die', 'repel', 'robust_static'] new=True 791.5s
e1_9508 g1 merge_cross_edge assayed ['3', '5', '1', '1', '1', 'persist|persist|persist', 'replicate', 'robust_static'] X:replicate new=True 363.93s
e1_9509 g1 merge_cross_edge assayed ['3', '6', '0', '1', '1', 'persist|replicate|persist', 'replicate', 'robust_static'] X:drift new=True 614.94s
e1_9510 g1 mutate assayed ['1', '2', '1', '1', '1', 'persist', 'replicate', 'robust_static'] new=False 84.97s
e1_9511 g1 mutate assayed ['1', '2', '0', '1', '1', 'persist', 'bond', 'fragile'] new=False 104.06s
e1_9512 g2 mutate assayed ['1', '2', '0', '1', '1', 'replicate', 'na', 'na'] new=False 13.98s
e1_9513 g2 merge_slow_tanh assayed ['3', '6', '1', '1', '1', 'replicate|persist|persist', 'approach', 'fragile'] X:rotor new=True 612.39s
e1_9514 g2 merge_cross_edge assayed ['3', '6', '1', '1', '1', 'persist|persist|multi', 'die', 'fragile'] X:cross_bond new=True 633.85s
e1_9515 g2 merge_slow_tanh assayed ['2', '4', '2', '1', '1', 'persist|persist', 'repel', 'robust_static'] X:repel new=True 475.74s
e1_9516 g2 mutate assayed ['1', '2', '1', '1', '1', 'persist', 'replicate', 'robust_static'] new=False 46.27s
e1_9517 g2 mutate assayed ['2', '4', '0', '1', '1', 'persist|persist', 'replicate', 'robust_static'] X:replicate new=False 85.03s
